,year,month,day,hour,minute,sec,N,latitude,longitude,depth,magnitude
196,2008,2,23,15,43,18,196,44.58127,-110.38302,3.396,1.035713720846135
197,2008,2,24,14,28,59,197,44.73402,-111.19089,7.933,1.242829257109132
198,2008,2,24,22,48,8,198,44.41595,-110.54474,4.575,0.998984315778642
199,2008,2,28,13,26,43,199,44.56099,-110.7295,1.963,1.0740481996595923
200,2008,2,28,13,31,47,200,44.56075,-110.72915,1.823,1.8459051406795968
201,2008,2,29,16,36,27,201,44.62005,-110.67131,4.091,1.9167170250293948
202,2008,2,29,16,39,48,202,44.62036,-110.67083,3.936,1.1080978897608718
203,2008,3,8,5,42,9,203,44.62058,-110.67412,3.496,1.1019591127625026
204,2008,3,8,5,43,0,204,44.62232,-110.66804,4.219,1.4653158701791338
205,2008,3,11,2,53,4,205,44.55195,-110.86023,5.43,0.916427263570342
206,2008,3,11,3,4,33,206,44.5522,-110.86058,5.451,0.8508600914740261
207,2008,3,11,4,31,56,207,44.55265,-110.86491,5.504,1.3334437405477777
208,2008,3,11,5,9,43,208,44.55254,-110.86465,5.498,0.8896379915218342
209,2008,3,11,5,55,33,209,44.55252,-110.86393,5.47,1.1176080508049044
210,2008,3,11,5,56,19,210,44.55209,-110.86318,5.459,1.8437377456177657
211,2008,3,11,6,8,27,211,44.55192,-110.84907,11.157,2.022293877991828
212,2008,3,11,6,18,10,212,44.55367,-110.8596,3.547,0.8871800670241182
213,2008,3,11,6,22,21,213,44.55258,-110.86231,5.549,0.8184095578442746
214,2008,3,11,6,22,59,214,44.55274,-110.86008,3.548,0.892754686230739
215,2008,3,11,6,23,13,215,44.55184,-110.86124,5.409,0.9893149196738988
216,2008,3,11,6,25,26,216,44.55271,-110.85998,3.494,0.8549448598754245
217,2008,3,11,6,42,53,217,44.55232,-110.86583,5.427,1.3531224668211703
218,2008,3,11,7,0,59,218,44.55012,-110.84534,11.225,1.872832407893637
219,2008,3,11,7,4,42,219,44.55173,-110.86019,5.408,0.9157545828355044
220,2008,3,11,8,19,49,220,44.55347,-110.8639,5.448,1.0031198688593377
221,2008,3,11,8,52,30,221,44.55271,-110.86591,5.503,0.9915515119693884
222,2008,3,11,10,32,10,222,44.55267,-110.8669,5.447,1.8486303314021555
223,2008,3,11,10,57,22,223,44.55296,-110.86563,5.462,2.452162692524682
224,2008,3,11,11,4,10,224,44.55346,-110.86361,5.445,0.9670092080547495
225,2008,3,11,11,11,6,225,44.55312,-110.86658,5.536,1.141342037355641
226,2008,3,11,11,25,53,226,44.55313,-110.86729,5.544,1.315556517299888
227,2008,3,11,11,37,22,227,44.55323,-110.86523,5.325,1.3013428421989683
228,2008,3,11,12,17,5,228,44.55341,-110.865,5.501,0.8169218919965305
229,2008,3,11,13,0,27,229,44.55293,-110.86715,5.48,1.2924802231016237
230,2008,3,11,13,15,19,230,44.55321,-110.86553,5.51,0.8624975899693799
231,2008,3,11,16,8,28,231,44.55262,-110.86825,5.496,1.8722448117569408
232,2008,3,11,17,8,30,232,44.55187,-110.86537,5.385,1.3431447249569048
233,2008,3,11,18,51,59,233,44.55502,-110.86767,5.59,1.0869616901884542
234,2008,3,11,19,11,49,234,44.55309,-110.86789,5.526,1.1368334700249525
235,2008,3,11,19,13,17,235,44.55398,-110.86715,4.103,0.8332179103507783
236,2008,3,11,19,38,26,236,44.55334,-110.8702,5.625,1.1710200072279933
237,2008,3,12,7,26,42,237,44.55293,-110.86998,5.579,2.3315359026425666
238,2008,3,12,7,27,56,238,44.55341,-110.87171,4.274,0.9803290016629548
239,2008,3,12,7,28,50,239,44.5527,-110.86909,5.55,2.4256216641578234
240,2008,3,12,7,29,48,240,44.55336,-110.87089,4.147,0.875293159834294
241,2008,3,12,7,37,16,241,44.55126,-110.86855,5.355,1.1139518880523755
242,2008,3,12,8,1,53,242,44.55327,-110.87091,5.615,1.557312493325115
243,2008,3,12,9,9,34,243,44.55067,-110.8549,11.481,2.6009146108440624
244,2008,3,12,9,12,0,244,44.55333,-110.86942,5.651,0.8055875426171955
245,2008,3,12,9,13,19,245,44.5532,-110.86722,5.556,1.2238349807970852
246,2008,3,12,13,56,51,246,44.55206,-110.86702,5.408,1.1029457328192185
247,2008,3,12,14,31,32,247,44.55144,-110.87188,5.609,1.4898423901101865
248,2008,3,12,15,10,39,248,44.55198,-110.86388,5.348,2.175244092580701
249,2008,3,12,18,30,28,249,44.55205,-110.86283,5.413,1.1550495456710452
250,2008,3,12,18,31,3,250,44.55308,-110.86267,3.728,0.8020030174615403
251,2008,3,12,22,45,19,251,44.54845,-110.85932,5.241,1.8243783614514588
252,2008,3,12,22,45,35,252,44.54823,-110.85952,5.361,1.753899397694461
253,2008,3,12,23,46,48,253,44.55476,-110.87911,5.854,1.632832762154747
254,2008,3,13,0,54,13,254,44.55155,-110.85991,3.451,1.02302888283381
255,2008,3,13,15,38,21,255,44.55141,-110.85837,3.477,1.0070965465793915
256,2008,3,14,4,0,39,256,44.54916,-110.85486,3.323,1.117610638518998
257,2008,3,16,23,4,29,257,44.42744,-110.80464,1.9,1.064649241865529
258,2008,3,20,7,32,8,258,44.46121,-110.30169,11.363,1.595216719392118
259,2008,3,20,10,39,18,259,44.45512,-110.32871,1.08,1.2325551930203735
260,2008,3,20,22,8,34,260,44.57363,-110.62977,2.988,1.0437931338100992
261,2008,3,21,17,2,40,261,44.62251,-111.03915,5.529,1.0216652093396723
262,2008,3,21,17,24,8,262,44.62266,-111.03928,5.511,1.8800472764189948
263,2008,3,21,17,25,55,263,44.62276,-111.03929,5.373,0.8602076545930744
264,2008,3,21,17,28,28,264,44.62267,-111.03942,5.38,0.882927939784977
265,2008,3,21,17,33,35,265,44.62251,-111.03884,5.358,0.99833063517313
266,2008,3,21,17,33,53,266,44.62293,-111.03939,5.362,0.8453709787939263
267,2008,3,21,17,34,52,267,44.62269,-111.03963,5.305,0.8642813725865763
268,2008,3,21,17,38,29,268,44.62288,-111.03958,5.318,1.008587080904827
269,2008,3,22,16,15,20,269,44.62262,-111.03879,5.449,0.8573581403422406
270,2008,3,22,16,16,26,270,44.62307,-111.0399,5.37,1.005804686211962
271,2008,3,22,16,29,20,271,44.62245,-111.03927,5.31,0.8958263235993895
272,2008,3,22,16,33,40,272,44.62318,-111.03974,5.488,1.1204712594255366
273,2008,3,25,11,59,36,273,44.7011,-110.07746,5.84,3.907250574026187
274,2008,3,25,13,56,39,274,44.70025,-110.07606,5.896,1.0293517048589225
275,2008,3,25,15,41,8,275,44.69805,-110.07723,4.051,1.135616944988918
276,2008,3,25,22,17,46,276,44.63874,-110.74082,2.032,1.009396019568569
277,2008,3,25,22,28,6,277,44.62313,-110.73162,8.995,0.9261220509930128
278,2008,3,25,22,50,31,278,44.63901,-110.74109,2.759,1.0546688089841312
